,Experiment,Consumption 1 (J),Consumption 2 (J),Consumption 3 (J),Consumption 4 (J),Consumption 5 (J),Consumption 6 (J),Consumption 7 (J),Consumption 8 (J),Consumption 9 (J),Consumption 10 (J),Consumption 11 (J),Consumption 12 (J),Consumption 13 (J),Consumption 14 (J),Consumption 15 (J),Consumption 16 (J),Consumption 17 (J),Consumption 18 (J),Consumption 19 (J),Consumption 20 (J),Consumption 21 (J),Consumption 22 (J),Consumption 23 (J),Consumption 24 (J),Consumption 25 (J),Consumption 26 (J),Consumption 27 (J),Consumption 28 (J),Consumption 29 (J),Consumption 30 (J),Consumption 31 (J),Consumption 32 (J),Consumption 33 (J),Consumption 34 (J),Consumption 35 (J),Consumption 36 (J),Consumption 37 (J),Consumption 38 (J),Consumption 39 (J),Consumption 40 (J),Consumption 41 (J),Consumption 42 (J),Consumption 43 (J),Consumption 44 (J),Consumption 45 (J),Consumption 46 (J),Consumption 47 (J),Consumption 48 (J),Consumption 49 (J),Consumption 50 (J),Mean Consumption (J),Variance Consumption (J)
21,qdd-ifort-linux-MKL-OMP-noStatic-noDebug,5122.7,5657.23,5704.66,5374.96,5312.68,5231.71,5295.88,5210.52,5373.93,5329.44,4226.83,5040.84,4095.44,4984.86,4266.86,4716.66,4478.97,4149.4,4424.3,4550.0,3674.13,3968.82,4179.46,4418.28,3945.43,4161.27,4124.96,4255.26,4346.14,4521.43,4364.58,4259.28,4215.53,4562.78,4325.94,3913.7,5157.12,4529.27,4170.31,4102.79,4062.03,3884.47,4605.89,3549.69,5766.25,4298.37,4311.34,3823.23,4438.39,3803.54,4525.751000000001,321665.18859693874
22,qdd-ifort-linux-MKL-noOMP-noStatic-Debug,5333.07,4946.06,4713.32,4624.81,4618.98,4076.02,4178.1,4169.64,4193.19,4226.11,2785.17,2752.17,2752.32,2750.34,2750.15,2751.05,2751.86,2752.93,2752.46,2751.95,2752.36,2752.3,2751.97,2752.85,2752.26,2752.82,2750.88,2750.26,2748.39,2748.46,3597.31,3600.03,3603.87,3602.16,3597.2,3601.07,3604.03,3605.83,3607.93,3611.25,3614.21,3608.98,3604.92,3597.92,3599.88,3603.82,3602.53,3604.99,3606.36,3605.93,3444.4494000000004,467506.62095677556
23,qdd-ifort-linux-MKL-noOMP-noStatic-noDebug,4383.9,4385.24,3984.73,4091.12,4075.0,3934.52,3810.23,4019.11,4014.98,4019.51,2748.0,2748.33,2748.39,2749.93,2750.92,2751.0,2752.19,2752.28,2752.34,2753.19,2752.32,2754.14,2753.74,2753.37,2750.85,2749.2,2749.42,2749.19,2747.76,2747.59,3610.91,3605.37,3602.98,3597.59,3600.85,3604.45,3606.7,3605.7,3610.48,3613.3,3611.57,3603.73,3598.27,3598.27,3603.17,3591.01,3591.25,3594.04,3596.31,3596.31,3355.495,284974.12067448976
24,qdd-ifx-linux-FFTW-OMP-DYN-noStatic-Debug,4314.81,4350.88,4331.2,4345.21,4228.04,4803.75,4132.14,4958.24,4933.91,5093.64,3311.83,3613.35,3291.86,2830.44,4429.78,2834.93,3600.98,3122.58,3649.77,3479.07,3623.6,3499.21,2983.68,3886.94,3282.62,3586.81,3449.09,4275.22,3669.01,4501.03,3819.69,3485.19,3838.48,3367.88,3090.79,3596.1,3154.35,3292.58,3606.21,3397.85,3503.68,3455.05,5091.77,2884.99,3756.71,3310.99,3547.94,3607.11,3389.15,4680.31,3765.8087999999984,362960.42039444903
25,qdd-ifx-linux-FFTW-OMP-DYN-noStatic-noDebug,5012.7,5350.65,5479.77,6458.88,5782.27,5411.05,5566.33,5365.77,5243.77,4849.18,3854.06,3975.32,3745.25,3638.38,3627.3,6214.9,4289.71,4260.74,4258.91,3932.89,6262.72,4393.0,3871.26,4311.32,4115.34,3749.63,5749.1,4561.63,3659.4,4566.9,3984.98,4609.63,4245.81,4379.47,3945.71,5180.99,3985.54,4159.2,3968.37,4205.65,4174.34,4791.26,4004.04,3969.77,5157.57,3798.97,4340.94,3827.34,4063.77,3753.86,4522.1068,576800.562434449
26,qdd-ifx-linux-FFTW-OMP-noStatic-Debug,4980.08,4966.74,5242.21,4873.05,4946.37,4982.8,5069.74,5047.08,4994.72,5415.19,4235.08,4290.39,4132.23,3582.35,4663.06,4495.48,4118.42,3942.44,4694.35,3523.44,4979.88,4295.24,4787.93,4114.48,4959.75,4189.41,5693.7,4026.07,5371.26,3951.53,3828.29,4261.56,4098.11,4586.92,4399.93,4711.18,3931.48,4576.16,3797.39,4669.76,3822.01,4560.56,4216.88,4284.25,5134.46,3520.71,6024.7,3801.5,4379.57,4696.5,4517.327800000002,321417.561409347
27,qdd-ifx-linux-FFTW-OMP-noStatic-noDebug,5019.4,5180.09,5302.25,5239.5,5250.06,5857.17,5156.84,5275.19,5193.14,5203.4,4751.92,4062.76,4328.23,4181.54,4446.57,3769.34,4627.46,4094.76,4538.9,4352.29,4096.41,4157.5,4327.94,4709.72,4556.44,3650.54,4567.4,4285.39,4332.97,4480.24,4147.0,4063.67,5176.9,4118.37,4042.19,5068.55,4453.61,3710.57,4548.77,3960.97,3938.73,4994.94,4117.12,5229.43,3992.9,4630.04,3481.21,4835.48,3658.28,4689.9,4517.079799999999,293499.3448917959
28,qdd-ifx-linux-FFTW-noOMP-noStatic-Debug,5088.27,4512.11,4058.96,4367.02,4090.98,4295.61,4190.51,4143.65,3599.82,4118.64,2733.68,2754.29,2754.48,2754.42,2753.8,2753.6,2751.69,2751.61,2750.37,3560.05,2758.51,2750.2,2716.9,2748.27,2747.68,2748.59,2750.56,2751.01,2751.84,2752.17,2763.47,2753.53,2754.31,2752.34,2751.16,2749.53,2749.37,2748.19,2748.12,2748.97,2747.67,2748.15,2751.29,2750.76,2751.91,2724.56,2753.32,2753.43,2752.13,2751.47,3065.2594,395708.6867445307
29,qdd-ifx-linux-FFTW-noOMP-noStatic-noDebug,4159.17,3763.2,4352.87,4332.65,4366.67,4168.8,4205.74,3592.54,4143.69,4145.71,2754.42,2751.76,2752.28,2752.18,2752.8,2752.26,2752.27,2751.27,2749.46,2747.52,2748.78,2747.62,2746.53,2746.98,2749.2,2749.64,2748.33,2750.46,2750.79,2751.7,2751.62,2750.69,2749.91,2749.95,2749.43,2749.15,2749.36,2747.34,2747.23,2747.99,2749.78,2750.62,2751.08,2752.69,2754.66,2754.93,2753.86,2754.23,2753.15,2751.0,3025.119199999999,319347.78147281625
30,qdd-ifx-linux-MKL-OMP-DYN-noStatic-Debug,3303.55,4183.61,3444.5,3302.77,3502.71,3626.36,2815.1,3973.31,2861.27,3523.63,3493.95,3600.75,3517.26,3647.63,3475.85,3457.11,3956.51,3368.67,3642.55,3382.87,3676.47,4345.25,4008.53,2830.39,4678.52,2857.94,3616.25,3498.7,3772.5,2815.63,3683.6,4286.16,2862.55,4068.04,3928.01,3349.31,3810.89,3379.67,3539.88,3538.35,3462.69,3599.76,3453.77,3478.11,3426.28,3718.2,3361.11,5138.78,2937.11,3882.58,3581.6998,211673.21782240816
31,qdd-ifx-linux-MKL-OMP-DYN-noStatic-noDebug,4333.35,4713.52,4274.1,4148.66,4498.28,4138.97,4326.42,4035.59,4312.84,4432.34,5151.07,3856.34,4201.9,4619.76,3676.66,4614.78,4220.02,4076.01,4146.25,4458.19,3385.64,5211.34,4009.9,4234.51,4294.72,4113.26,4949.31,4200.61,4101.27,4248.53,3906.99,4518.5,3765.14,4585.42,4252.11,4137.02,4276.03,3771.64,4493.99,4298.94,4187.54,4059.61,5494.97,4070.99,4369.58,4526.82,4401.62,4513.0,3993.96,4516.96,4302.499399999999,141997.67963024494
32,qdd-ifx-linux-MKL-OMP-noStatic-Debug,4259.52,3988.96,4773.81,4192.23,5115.41,4414.46,4150.3,4850.88,5000.37,4132.08,4866.45,4233.92,4358.81,4445.45,4312.8,4552.98,4091.26,5036.58,4132.87,4533.81,4571.5,3997.6,4579.39,4220.55,4574.02,4449.17,4760.24,4259.33,4242.61,4420.12,4335.81,4862.16,3775.65,4645.4,5085.77,4466.79,4242.2,4435.7,4409.02,3792.53,4415.56,3954.85,4424.97,4210.68,4092.3,3982.18,4971.58,3634.32,4780.86,4237.89,4405.473999999999,123246.37451428571
33,qdd-ifx-linux-MKL-OMP-noStatic-noDebug,4558.94,4000.15,4580.54,4181.38,4599.57,4512.78,4324.89,4922.96,4751.69,4429.32,4245.04,4312.18,4568.47,4615.15,4234.22,4513.61,4212.37,5019.26,4250.71,4137.99,4199.76,4440.98,4375.51,4247.8,4304.76,4165.07,4143.5,4198.54,4182.07,4600.18,5009.55,4121.91,4814.95,4137.51,4715.12,4280.0,4707.34,3808.63,4522.34,3712.01,4745.34,3452.17,4983.63,4067.35,4341.67,3801.12,4872.22,4401.95,4318.42,3610.39,4365.060200000001,123696.565202
34,qdd-ifx-linux-MKL-noOMP-noStatic-Debug,5111.65,4981.3,4656.12,4001.74,3814.26,4003.89,4016.48,4038.33,4049.29,3810.48,2770.68,2753.36,2754.65,2752.27,2752.32,2749.57,2747.99,2747.81,2747.92,2747.83,2747.79,2748.1,2749.24,2750.24,2751.16,2750.99,2753.44,2753.7,2752.57,2753.05,2781.24,2758.22,2757.38,2756.59,2755.65,2754.86,2755.12,2754.61,2754.23,2754.46,2753.04,3571.73,2802.14,2750.87,2749.54,2748.92,2749.06,2750.73,2751.88,2753.09,3069.6316000000015,410392.9672218775
35,qdd-ifx-linux-MKL-noOMP-noStatic-noDebug,4232.42,4247.08,4226.52,4191.88,4040.01,3916.68,2752.24,2749.21,2747.74,2748.08,2753.01,2752.82,2752.95,2753.14,2764.46,2749.88,2748.67,2748.58,2747.95,2746.83,2746.48,2747.43,2748.66,2749.91,2750.22,2751.33,2751.28,2751.46,2750.92,2751.01,2752.87,2754.5,2755.72,2756.16,2754.45,2754.83,2756.47,2755.72,2754.13,2751.72,2751.43,2749.84,2750.94,2750.6,2750.98,2751.72,2751.92,2752.89,2752.66,2755.09,2918.6698000000006,210231.31257751022
